group,user
0,0.0
0,1.0
0,2.0
0,3.0
0,4.0
0,5.0
0,6.0
0,7.0
0,8.0
0,9.0
0,10.0
0,11.0
0,12.0
0,13.0
0,14.0
0,15.0
0,16.0
0,17.0
0,18.0
1,19.0
1,20.0
1,21.0
1,22.0
1,23.0
1,24.0
1,25.0
1,26.0
1,27.0
1,28.0
1,29.0
1,30.0
1,31.0
1,32.0
1,33.0
1,34.0
1,35.0
1,36.0
1,37.0
2,38.0
2,39.0
2,40.0
2,41.0
2,42.0
2,43.0
2,44.0
2,45.0
2,46.0
2,47.0
2,48.0
2,49.0
3,50.0
3,51.0
3,52.0
3,53.0
3,54.0
3,55.0
3,56.0
3,57.0
4,58.0
4,59.0
4,60.0
4,61.0
4,62.0
4,63.0
4,64.0
4,65.0
4,66.0
4,67.0
4,68.0
4,69.0
4,70.0
4,71.0
4,72.0
4,73.0
4,74.0
4,75.0
4,76.0
4,77.0
4,78.0
4,79.0
4,80.0
4,81.0
4,82.0
4,83.0
4,84.0
4,85.0
4,86.0
4,87.0
4,88.0
4,89.0
4,90.0
4,91.0
4,92.0
4,93.0
4,94.0
5,95.0
5,96.0
5,97.0
5,98.0
5,99.0
5,100.0
5,101.0
5,102.0
5,103.0
5,104.0
5,105.0
5,106.0
5,107.0
5,108.0
5,109.0
5,110.0
5,111.0
5,112.0
5,113.0
5,114.0
5,115.0
5,116.0
5,117.0
5,118.0
5,119.0
5,120.0
5,121.0
5,122.0
6,123.0
6,124.0
6,125.0
6,126.0
6,127.0
6,128.0
6,129.0
6,130.0
6,131.0
6,132.0
6,133.0
6,134.0
6,135.0
6,136.0
6,137.0
6,138.0
6,139.0
6,140.0
6,141.0
6,142.0
6,143.0
6,144.0
7,145.0
7,58.0
7,146.0
7,147.0
7,148.0
7,149.0
7,150.0
8,151.0
8,152.0
8,153.0
8,154.0
8,155.0
8,156.0
8,157.0
8,158.0
8,159.0
8,160.0
8,161.0
8,162.0
8,163.0
8,164.0
8,165.0
8,166.0
8,167.0
8,168.0
8,169.0
8,170.0
9,132.0
9,171.0
9,172.0
9,65.0
9,173.0
9,174.0
9,175.0
9,176.0
9,177.0
9,178.0
9,179.0
9,180.0
9,181.0
9,182.0
9,183.0
9,184.0
9,185.0
9,186.0
9,187.0
9,188.0
9,189.0
9,190.0
9,191.0
9,192.0
9,193.0
9,194.0
9,195.0
9,196.0
9,197.0
9,198.0
9,199.0
9,200.0
9,201.0
9,202.0
9,203.0
9,204.0
9,205.0
9,206.0
9,207.0
9,208.0
9,209.0
9,210.0
9,211.0
9,212.0
9,213.0
10,214.0
10,215.0
10,216.0
10,217.0
10,218.0
10,219.0
10,220.0
10,221.0
10,222.0
10,223.0
10,224.0
10,225.0
10,226.0
10,227.0
10,228.0
10,229.0
10,132.0
10,230.0
10,231.0
10,232.0
10,233.0
10,234.0
10,235.0
10,236.0
10,237.0
10,238.0
10,239.0
10,240.0
10,241.0
10,242.0
10,243.0
10,244.0
10,245.0
10,246.0
10,247.0
10,248.0
10,249.0
10,250.0
10,251.0
11,252.0
11,212.0
11,129.0
11,253.0
11,132.0
11,254.0
11,255.0
11,256.0
11,257.0
11,258.0
11,259.0
11,260.0
11,261.0
11,262.0
11,263.0
11,264.0
11,265.0
11,266.0
11,267.0
11,268.0
11,269.0
11,270.0
11,271.0
11,272.0
11,273.0
11,274.0
11,275.0
11,276.0
11,277.0
11,278.0
11,279.0
11,280.0
11,136.0
11,281.0
11,282.0
11,283.0
11,284.0
11,285.0
11,208.0
11,286.0
11,287.0
11,288.0
11,289.0
12,290.0
12,291.0
12,292.0
12,293.0
12,294.0
12,295.0
12,296.0
12,297.0
12,298.0
12,299.0
12,300.0
12,301.0
12,302.0
12,303.0
12,304.0
12,305.0
12,306.0
12,307.0
12,308.0
12,309.0
12,310.0
12,311.0
12,312.0
12,313.0
12,314.0
12,315.0
12,316.0
12,317.0
12,318.0
12,319.0
12,320.0
12,321.0
12,322.0
12,323.0
12,324.0
12,325.0
12,326.0
12,327.0
12,328.0
12,329.0
13,330.0
13,331.0
13,332.0
13,333.0
13,334.0
13,335.0
13,58.0
13,336.0
13,337.0
13,338.0
13,339.0
13,340.0
13,341.0
13,342.0
13,343.0
13,344.0
13,345.0
13,346.0
13,347.0
13,348.0
13,349.0
13,350.0
13,351.0
14,132.0
14,352.0
14,353.0
14,354.0
14,355.0
14,356.0
14,357.0
14,358.0
14,359.0
14,360.0
14,361.0
15,58.0
15,362.0
15,363.0
15,364.0
15,365.0
15,366.0
15,367.0
15,368.0
15,369.0
15,370.0
15,371.0
15,372.0
15,373.0
15,374.0
15,375.0
15,376.0
15,377.0
15,378.0
15,379.0
15,380.0
15,381.0
15,382.0
15,383.0
15,384.0
15,385.0
15,69.0
15,386.0
15,387.0
15,388.0
15,389.0
15,390.0
15,391.0
15,392.0
15,393.0
15,394.0
15,395.0
15,396.0
15,397.0
15,398.0
15,399.0
15,400.0
15,401.0
15,402.0
15,89.0
15,403.0
15,404.0
15,405.0
15,406.0
16,229.0
16,407.0
16,132.0
16,408.0
16,409.0
16,410.0
16,411.0
16,412.0
16,413.0
16,414.0
16,415.0
16,416.0
16,209.0
16,417.0
16,418.0
16,419.0
17,132.0
17,420.0
17,421.0
17,422.0
17,423.0
17,424.0
17,425.0
17,426.0
17,427.0
17,428.0
17,429.0
17,430.0
17,431.0
17,432.0
17,433.0
17,434.0
18,435.0
18,436.0
18,437.0
18,438.0
18,439.0
18,440.0
18,441.0
18,442.0
18,443.0
18,444.0
18,445.0
18,446.0
18,447.0
18,448.0
18,449.0
18,450.0
18,451.0
18,452.0
18,453.0
18,454.0
18,455.0
18,456.0
18,457.0
18,458.0
18,459.0
18,460.0
18,461.0
19,462.0
19,463.0
19,464.0
19,465.0
19,466.0
19,467.0
19,468.0
19,469.0
19,470.0
19,471.0
19,472.0
19,473.0
19,474.0
19,475.0
19,476.0
19,477.0
19,478.0
19,479.0
19,480.0
19,481.0
19,482.0
19,483.0
19,484.0
19,485.0
19,486.0
19,487.0
19,488.0
19,489.0
20,467.0
20,490.0
20,491.0
20,492.0
20,493.0
20,494.0
20,495.0
20,496.0
20,497.0
20,498.0
20,499.0
20,500.0
20,501.0
20,502.0
21,490.0
21,491.0
21,503.0
21,504.0
21,500.0
21,505.0
22,506.0
22,125.0
22,132.0
22,507.0
22,133.0
22,508.0
22,509.0
22,510.0
22,511.0
22,512.0
22,513.0
23,514.0
23,515.0
23,516.0
23,517.0
23,518.0
23,519.0
23,520.0
23,521.0
23,522.0
23,523.0
23,524.0
23,525.0
23,526.0
23,527.0
23,528.0
23,529.0
23,530.0
23,531.0
23,532.0
23,533.0
23,534.0
23,535.0
23,536.0
23,537.0
23,538.0
23,539.0
24,436.0
24,540.0
24,541.0
24,542.0
24,543.0
24,544.0
24,545.0
24,546.0
24,547.0
24,548.0
24,549.0
24,550.0
24,551.0
24,552.0
24,553.0
24,554.0
24,555.0
24,556.0
24,557.0
24,558.0
24,559.0
25,560.0
25,561.0
25,562.0
25,563.0
25,564.0
25,565.0
26,566.0
26,567.0
26,132.0
26,568.0
26,569.0
26,570.0
26,571.0
26,572.0
26,573.0
26,574.0
26,575.0
26,576.0
27,577.0
27,578.0
27,579.0
27,580.0
27,277.0
27,581.0
27,582.0
27,583.0
27,584.0
27,585.0
27,586.0
27,587.0
27,588.0
27,589.0
27,590.0
27,591.0
27,592.0
27,593.0
28,594.0
